"","Academic Year","School Number","School Name","School Level","Elementary Male Enrolment","Elementary Female Enrolment","Secondary Male Enrolment","Secondary Female Enrolment","Total Male Enrolment","Total Female Enrolment","Enrolment","Public_Private"
"3319","2019-2020","880824","Noon Academy","Elementary",40,30,NA,NA,40,30,70,"Private"
"3320","2019-2020","668385","Noori Islamic Institute","Elementary",20,15,NA,NA,20,15,35,"Private"
"3321","2019-2020","878669","North Hill Private School","Elementary",55,45,NA,NA,55,45,100,"Private"
"3322","2019-2020","667285","North Shore Parochial","Elementary",5,10,NA,NA,NA,10,15,"Private"
"3323","2019-2020","889008","North Star Christian Day School","Elem/Sec",5,5,5,NA,10,NA,15,"Private"
"3324","2019-2020","876895","North Toronto Christian School","Elem/Sec",135,145,70,60,200,210,410,"Private"
"3325","2019-2020","668014","North Valley Parochial School","Elementary",20,20,NA,NA,20,20,40,"Private"
"3326","2019-2020","887641","North Woolwich Parochial School","Elementary",20,5,NA,NA,20,NA,25,"Private"
"3327","2019-2020","666037","Northern Valley Parochial School","Elementary",10,10,NA,NA,10,10,20,"Private"
"3328","2019-2020","875287","Northmount School","Elementary",130,NA,NA,NA,130,NA,130,"Private"
"3329","2019-2020","881877","Northside Christian School","Elem/Sec",25,15,NA,5,25,NA,45,"Private"
"3330","2019-2020","878022","Northstar Montessori Private School","Elementary",120,100,NA,NA,120,100,220,"Private"
"3331","2019-2020","880027","Northumberland Christian School","Elementary",30,35,NA,NA,30,35,65,"Private"
"3332","2019-2020","878545","Northumberland Montessori School Inc.","Elementary",10,5,NA,NA,10,NA,15,"Private"
"3333","2019-2020","666857","Northview Collegiate","Secondary",NA,NA,5,5,NA,NA,10,"Private"
"3334","2019-2020","669252","Northview Collegiate Hamilton","Secondary",NA,NA,5,5,NA,NA,10,"Private"
"3335","2019-2020","665736","Nucleus High School","Secondary",NA,NA,35,5,35,NA,40,"Private"
"3336","2019-2020","667858","Oak Bridge Academy","Elementary",45,5,NA,NA,45,NA,50,"Private"
"3337","2019-2020","886118","Oak Creek Parochial School","Elementary",10,5,NA,NA,10,NA,15,"Private"
"3338","2019-2020","666942","Oak Hill Academy","Elementary",25,20,NA,NA,25,20,45,"Private"
"3339","2019-2020","669623","Oak Learners","Elementary",5,5,NA,NA,NA,NA,10,"Private"
"3340","2019-2020","882240","Oakville Christian School","Elementary",135,125,NA,NA,135,125,260,"Private"
"3341","2019-2020","668475","Oakwood Academy","Elementary",30,5,NA,NA,30,NA,35,"Private"
"3342","2019-2020","664035","Ohahase Education Centre","Secondary",NA,NA,5,5,NA,NA,10,"Private"
"3343","2019-2020","884901","Old Colony Christian Academy","Elem/Sec",125,85,5,15,NA,105,230,"Private"
"3344","2019-2020","882733","Old Colony Christian Academy Cottam","Elem/Sec",90,85,5,5,NA,NA,185,"Private"
"3345","2019-2020","884855","Old Colony Christian School","Elem/Sec",110,120,5,5,NA,NA,240,"Private"
"3346","2019-2020","886795","Olive Grove High School","Secondary",NA,NA,30,40,30,40,70,"Private"
"3347","2019-2020","666478","Olive Grove School","Elementary",415,460,NA,NA,415,460,875,"Private"
"3348","2019-2020","886807","Olivet School","Elementary",10,10,NA,NA,10,10,20,"Private"
"3349","2019-2020","666956","OnCourse Education","Secondary",NA,NA,5,NA,NA,NA,5,"Private"
"3350","2019-2020","669232","One Care Academy","Elementary",10,5,NA,NA,10,NA,15,"Private"
"3351","2019-2020","886298","One Direction Academy","Elem/Sec",NA,NA,15,5,15,NA,20,"Private"
"3352","2019-2020","886540","One Forest","Elementary",15,15,NA,NA,15,15,30,"Private"
"3353","2019-2020","669302","OneSchool Global - Hamilton","Elem/Sec",15,20,20,15,35,35,70,"Private"
"3354","2019-2020","669276","OneSchool Global - Mossley","Elem/Sec",15,15,10,10,25,25,50,"Private"
"3355","2019-2020","666012","OneSchool Global - Rideau Lakes","Elem/Sec",5,5,5,5,10,15,20,"Private"
"3356","2019-2020","883784","Ontario Academy of International Educati","Secondary",NA,NA,NA,5,NA,NA,5,"Private"
"3357","2019-2020","884354","Ontario Academy of Technology (OAT)","Secondary",NA,NA,15,10,15,10,25,"Private"
"3358","2019-2020","880161","Ontario Hockey Academy","Secondary",NA,NA,80,55,80,55,135,"Private"
"3359","2019-2020","882094","Ontario International College","Secondary",NA,NA,60,30,60,30,90,"Private"
"3360","2019-2020","883192","Ontario International School","Secondary",NA,NA,5,5,NA,NA,10,"Private"
"3361","2019-2020","885901","Ontario Muslim Academy","Elementary",45,60,NA,NA,45,60,105,"Private"
"3362","2019-2020","887129","Ontario Online Academy","Secondary",NA,NA,5,5,NA,NA,10,"Private"
"3363","2019-2020","665804","Ontario Virtual School","Secondary",NA,NA,440,395,440,395,835,"Private"
"3364","2019-2020","882694","Ontario eSchool","Secondary",NA,NA,80,75,80,75,155,"Private"
"3365","2019-2020","667186","Ontario eSecondary School","Secondary",NA,NA,5,5,NA,NA,10,"Private"
"3366","2019-2020","665831","OpenMind Alliance Academy","Elementary",35,5,NA,NA,35,NA,40,"Private"
"3367","2019-2020","880248","Or Haemet Sephardic School","Elementary",125,150,NA,NA,125,150,275,"Private"
"3368","2019-2020","880744","Orangeville Christian School","Elementary",55,70,NA,NA,55,70,125,"Private"
"3369","2019-2020","880442","Orillia Christian School","Elementary",45,30,NA,NA,45,30,75,"Private"
"3370","2019-2020","885339","Ottawa Adventist Elementary School","Elementary",30,25,NA,NA,30,25,55,"Private"
"3371","2019-2020","887358","Ottawa Christian School","Elementary",115,110,NA,NA,115,110,225,"Private"
"3372","2019-2020","884146","Ottawa Islamic School","Elem/Sec",115,100,90,75,205,175,380,"Private"
"3373","2019-2020","669700","Ottawa Jewish Community School","Elementary",80,85,NA,NA,80,85,165,"Private"
"3374","2019-2020","881238","Ottawa Montessori School/Ecole Montessor","Elementary",60,65,NA,NA,60,65,125,"Private"
"3375","2019-2020","882259","Ottawa Torah Institute","Secondary",NA,NA,5,5,NA,NA,10,"Private"
"3376","2019-2020","667913","Ottawa Victory Christian Academy","Elem/Sec",5,5,5,5,10,10,20,"Private"
"3377","2019-2020","888788","Otter Lake Christian School","Elem/Sec",15,15,5,5,NA,NA,40,"Private"
"3378","2019-2020","668714","Otter Valley Christian School","Elem/Sec",5,5,5,5,NA,NA,20,"Private"
"3379","2019-2020","666359","Our Future Academy","Elementary",20,5,NA,NA,20,NA,25,"Private"
"3380","2019-2020","665195","Our Lady of Mount Carmel Academy","Elem/Sec",30,5,45,NA,75,NA,80,"Private"
"3381","2019-2020","881566","Our Lady of the Pillar Academy","Elementary",15,15,NA,NA,15,15,30,"Private"
"3382","2019-2020","877689","Our Lady of the Wayside Catholic School","Elem/Sec",20,30,5,5,NA,NA,60,"Private"
"3383","2019-2020","883495","Outstanding International Academy","Secondary",NA,NA,5,5,NA,NA,10,"Private"
"3384","2019-2020","876658","Owen Sound Canadian Reformed School","Elementary",30,30,NA,NA,30,30,60,"Private"
"3385","2019-2020","667315","Oxford College of Canada","Secondary",NA,NA,90,60,90,60,150,"Private"
"3386","2019-2020","668186","Oxford Learning Academy","Elementary",35,20,NA,NA,35,20,55,"Private"
"3387","2019-2020","667985","Oxford Reformed Christian School","Elem/Sec",140,120,55,40,190,165,355,"Private"
"3388","2019-2020","669895","Oxford School of Canada","Secondary",NA,NA,10,5,10,NA,15,"Private"
"3389","2019-2020","666343","P.T.Montessori","Elementary",50,25,NA,NA,50,25,75,"Private"
"3390","2019-2020","668194","Parkdale Montessori School","Elementary",5,5,NA,NA,NA,NA,10,"Private"
"3391","2019-2020","884779","Parkside Academy","Elem/Sec",NA,NA,5,5,NA,NA,10,"Private"
"3392","2019-2020","888311","Pathfinder Christian School","Elem/Sec",20,20,5,5,NA,NA,50,"Private"
"3393","2019-2020","878880","Pathways Academy & Early Learning Centre","Elementary",15,20,NA,NA,15,20,35,"Private"
"3394","2019-2020","889191","Pathways Education Services Inc.","Secondary",NA,NA,5,5,NA,NA,10,"Private"
"3395","2019-2020","669660","Pathways Educational Services Inc","Secondary",NA,NA,20,5,20,NA,25,"Private"
"3396","2019-2020","878685","Paul Penna Downtown Jewish Day School","Elementary",85,70,NA,NA,85,70,155,"Private"
"3397","2019-2020","665848","Peak Centre Academy","Elem/Sec",20,5,10,5,35,10,40,"Private"
"3398","2019-2020","877670","Peel Adventist School","Elementary",50,40,NA,NA,50,40,90,"Private"
"3399","2019-2020","875732","Peel Montessori School","Elementary",25,20,NA,NA,25,20,45,"Private"
"3400","2019-2020","664875","Peetabeck Academy","Elem/Sec",NA,NA,30,25,30,25,55,"Private"
"3401","2019-2020","663700","Pelican Falls First Nations High School","Secondary",NA,NA,95,80,95,80,175,"Private"
"3402","2019-2020","665160","Peoples Christian Academy","Elem/Sec",230,225,60,40,290,265,555,"Private"
"3403","2019-2020","883640","Petre College","Secondary",NA,NA,NA,5,NA,NA,5,"Private"
"3404","2019-2020","878626","Philopateer Christian College","Elem/Sec",85,80,90,70,175,145,325,"Private"
"3405","2019-2020","665010","Phoenix Montessori School Inc","Elementary",40,45,NA,NA,40,45,85,"Private"
"3406","2019-2020","884359","Pickering Christian School","Elementary",110,110,NA,NA,110,110,220,"Private"
"3407","2019-2020","885827","Pickering College","Elem/Sec",110,90,110,115,220,205,425,"Private"
"3408","2019-2020","881273","Pine Lake Montessori School","Elementary",5,5,NA,NA,NA,NA,10,"Private"
"3409","2019-2020","887324","Pine Mountain","Elementary",5,5,NA,NA,NA,NA,10,"Private"
"3410","2019-2020","665443","Pine Ridge Amish School","Elementary",5,5,NA,NA,NA,NA,10,"Private"
"3411","2019-2020","883938","Pinehaven Christian School","Elementary",5,5,NA,NA,NA,NA,10,"Private"
"3412","2019-2020","888435","Pineview Mennonite School","Elem/Sec",25,20,5,5,NA,NA,55,"Private"
"3413","2019-2020","875228","Plattsville Christian Private Elementary","Elementary",25,25,NA,NA,25,25,50,"Private"
"3414","2019-2020","878820","Pleasant View Parochial School","Elementary",20,15,NA,NA,20,15,35,"Private"
"3415","2019-2020","883443","Polaris Learning Centre","Secondary",NA,NA,5,NA,NA,NA,5,"Private"
"3416","2019-2020","669974","Polaris School and Centre - A Waldorf In","Elem/Sec",30,15,5,5,NA,NA,55,"Private"
"3417","2019-2020","875406","Poplar Grove Parochial School","Elementary",10,5,NA,NA,10,NA,15,"Private"
"3418","2019-2020","887834","Portlock Parochial School","Elementary",5,10,NA,NA,NA,10,15,"Private"
"3419","2019-2020","884983","Prairie View School","Elementary",5,10,NA,NA,NA,10,15,"Private"
"3420","2019-2020","883927","Premium Institute of Excellence","Secondary",NA,NA,5,5,NA,NA,10,"Private"
"3421","2019-2020","665949","Prestige School, The -Richmond Hill","Elem/Sec",20,15,5,5,NA,NA,45,"Private"
"3422","2019-2020","666394","Prestige School, The -Toronto","Elem/Sec",70,60,30,25,95,85,185,"Private"
"3423","2019-2020","878154","Pretty River Academy","Elem/Sec",30,30,5,5,NA,NA,70,"Private"
"3424","2019-2020","885415","Princeton Academy of Canada","Elem/Sec",NA,NA,5,5,NA,NA,10,"Private"
"3425","2019-2020","880862","Prosperity Parochial School","Elementary",15,10,NA,NA,15,10,25,"Private"
"3426","2019-2020","668622","Protestant Reformed School in Wingham","Elem/Sec",5,5,5,5,NA,10,20,"Private"
"3427","2019-2020","885401","Providence Christian School","Elementary",125,140,NA,NA,125,140,265,"Private"
"3428","2019-2020","877999","Providence Reformed Collegiate","Secondary",NA,NA,40,60,40,60,100,"Private"
"3429","2019-2020","880915","Pure Degree Mandarin School","Elementary",10,5,NA,NA,10,NA,15,"Private"
"3430","2019-2020","883813","Quantum Academy","Elem/Sec",5,NA,5,5,NA,NA,15,"Private"
"3431","2019-2020","882306","Queen Elizabeth Academy","Secondary",NA,NA,5,5,NA,NA,10,"Private"
"3432","2019-2020","883508","Queen's Academic School","Secondary",NA,NA,10,5,10,NA,15,"Private"
"3433","2019-2020","666920","Queen's Collegiate","Elem/Sec",5,5,5,15,NA,NA,30,"Private"
"3434","2019-2020","883297","Queen's Elite Academy of Canada","Secondary",NA,NA,35,40,35,40,75,"Private"
"3435","2019-2020","669065","Queens Gate Academy","Elementary",65,50,NA,NA,65,50,115,"Private"
"3436","2019-2020","882297","Queenswood High School","Elem/Sec",NA,NA,5,5,NA,NA,10,"Private"
"3437","2019-2020","889830","Quinte Christian High School","Secondary",NA,NA,60,65,60,65,125,"Private"
"3438","2019-2020","668682","Quintilian Private School of Kingston","Elementary",20,5,NA,NA,20,NA,25,"Private"
"3439","2019-2020","887765","Red Hill Parochial School","Elementary",15,5,NA,NA,15,NA,20,"Private"
"3440","2019-2020","668628","Red-Tailed Hawk Forest School","Elementary",20,30,NA,NA,20,30,50,"Private"
"3441","2019-2020","889067","Redeemer Christian High School","Secondary",NA,NA,90,70,90,70,160,"Private"
"3442","2019-2020","880108","Rehoboth Christian School","Elem/Sec",130,110,75,50,200,160,365,"Private"
"3443","2019-2020","889016","Rehoboth Christian School","Elem/Sec",320,290,125,110,445,400,845,"Private"
"3444","2019-2020","667185","Resurrection Christian Academy","Elementary",45,35,NA,NA,45,35,80,"Private"
"3445","2019-2020","885146","Revel Academy","Elementary",15,10,NA,NA,15,10,25,"Private"
"3446","2019-2020","880574","Rhema Christian School","Elementary",50,35,NA,NA,50,35,85,"Private"
"3447","2019-2020","665754","Richland Academy","Elementary",105,85,NA,NA,105,85,190,"Private"
"3448","2019-2020","667056","Richmond Hill Christian Academy","Elem/Sec",180,145,5,5,NA,NA,335,"Private"
"3449","2019-2020","886313","Richmond Hill Montessori Private School","Elementary",290,325,NA,NA,290,325,615,"Private"
"3450","2019-2020","886335","Ridley College","Elem/Sec",110,95,275,220,385,315,700,"Private"
"3451","2019-2020","887603","Riverbend Academy","Elementary",10,15,NA,NA,10,15,25,"Private"
"3452","2019-2020","882110","Riverforest Montessori School","Elementary",20,15,NA,NA,20,15,35,"Private"
"3453","2019-2020","665725","Riverside Christian Montessori School","Elementary",5,5,NA,NA,NA,NA,10,"Private"
"3454","2019-2020","880876","Riverside Parochial School","Elementary",20,20,NA,NA,20,20,40,"Private"
"3455","2019-2020","666726","Riyadh Alsalehin School","Elem/Sec",220,220,45,55,265,275,540,"Private"
"3456","2019-2020","883554","Road Less Travelled Academy","Elementary",10,5,NA,NA,10,NA,15,"Private"
"3457","2019-2020","887153","Robbins Hebrew Academy","Elementary",200,170,NA,NA,200,170,370,"Private"
"3458","2019-2020","880051","Robert Land Academy","Elem/Sec",10,NA,70,NA,80,NA,80,"Private"
"3459","2019-2020","887762","Rock Community Christian","Elementary",10,5,NA,NA,10,NA,15,"Private"
"3460","2019-2020","876771","Rock of Help Christian Academy","Elem/Sec",10,5,5,5,NA,NA,25,"Private"
"3461","2019-2020","885681","Rockway Mennonite Collegiate Inc","Elem/Sec",30,30,130,105,160,135,295,"Private"
"3462","2019-2020","885879","Rocky Ridge Parochial","Elementary",10,5,NA,NA,10,NA,15,"Private"
"3463","2019-2020","667188","Ronald McDonald House Charities Toronto","Elementary",5,5,NA,NA,NA,NA,10,"Private"
"3464","2019-2020","882010","Roots Private School","Elementary",25,20,NA,NA,25,20,45,"Private"
"3465","2019-2020","668726","Rosedale Academy","Secondary",NA,NA,215,160,215,160,375,"Private"
"3466","2019-2020","877085","Rosedale Day School, The","Elementary",100,80,NA,NA,100,80,180,"Private"
"3467","2019-2020","887617","Rosseau Lake College Private School","Elem/Sec",15,5,55,35,65,NA,110,"Private"
"3468","2019-2020","880957","Rotherglen School","Elementary",260,245,NA,NA,260,245,505,"Private"
"3469","2019-2020","884950","Rotherglen School - Oakville Elementary","Elem/Sec",270,275,15,15,285,290,575,"Private"
"3470","2019-2020","668261","Rouge Valley Education Center","Secondary",NA,NA,85,70,85,70,155,"Private"
"3471","2019-2020","886530","Rowntree Montessori Schools","Elementary",220,215,NA,NA,220,215,435,"Private"
"3472","2019-2020","882744","Royal City Baptist Academy","Elem/Sec",5,5,5,NA,NA,NA,15,"Private"
"3473","2019-2020","887482","Royal Crown Academic School","Secondary",NA,NA,260,155,260,155,415,"Private"
"3474","2019-2020","880996","Royal Imperial Collegiate of Canada","Secondary",NA,NA,30,5,30,NA,35,"Private"
"3475","2019-2020","885094","Royal Oak Community School","Elementary",15,10,NA,NA,15,10,25,"Private"
"3476","2019-2020","887005","Royal St George's College","Elem/Sec",175,NA,275,NA,445,NA,450,"Private"
"3477","2019-2020","668952","SIMRA Academy Private School","Secondary",NA,NA,30,15,30,15,45,"Private"
"3478","2019-2020","664813","SNP STEAM Academy","Secondary",NA,NA,70,40,70,40,110,"Private"
"3479","2019-2020","887085","Saba's Academy","Elementary",5,5,NA,NA,NA,NA,10,"Private"
"3480","2019-2020","884856","Safa & Marwa Islamic School","Elementary",90,80,NA,NA,90,80,170,"Private"
"3481","2019-2020","668541","Safa & Marwa Islamic School","Elem/Sec",15,20,35,30,50,50,100,"Private"
"3482","2019-2020","663794","Sakatcheway Anishinabe","Elem/Sec",NA,NA,15,25,15,25,40,"Private"
"3483","2019-2020","878170","Salaheddin Islamic School","Elem/Sec",120,140,40,45,160,185,345,"Private"
"3484","2019-2020","875392","Salem Valley Parochial School","Elementary",20,10,NA,NA,20,10,30,"Private"
"3485","2019-2020","886146","Sandy Lake Christian School","Elem/Sec",10,5,NA,5,10,NA,20,"Private"
"3486","2019-2020","886416","Sarnia Christian School","Elementary",70,80,NA,NA,70,80,150,"Private"
"3487","2019-2020","666269","Sarnia Islamic Academy","Elementary",5,5,NA,NA,NA,NA,10,"Private"
"3488","2019-2020","665134","Sathya Sai School, Toronto, Canada","Elementary",110,110,NA,NA,110,110,220,"Private"
"3489","2019-2020","882644","Saugeen Pines Parochial School","Elementary",15,10,NA,NA,15,10,25,"Private"
"3490","2019-2020","884138","Saugeen Riverside Parochial School","Elementary",10,10,NA,NA,10,10,20,"Private"
"3491","2019-2020","882216","Scholars' Hall Private School","Elem/Sec",55,40,35,20,90,60,150,"Private"
"3492","2019-2020","889954","Scriven Christian Academy","Elementary",5,5,NA,NA,NA,NA,10,"Private"
"3493","2019-2020","668400","Seerah Mission School","Elementary",15,10,NA,NA,15,10,25,"Private"
"3494","2019-2020","877328","Seneca Hill Private School","Elem/Sec",50,45,NA,NA,50,45,95,"Private"
"3495","2019-2020","663743","Seven Generations Secondary School","Secondary",NA,NA,55,85,55,85,140,"Private"
"3496","2019-2020","880718","Sevenoaks Academy","Elementary",35,20,NA,NA,35,20,55,"Private"
"3497","2019-2020","884686","Seventh Fire Secondary School","Secondary",NA,NA,20,15,20,15,35,"Private"
