School Number,School Name,School Level,Public_Private,Enrolment,Academic Year
965570,ÉS Villa Française des Jeunes,Secondary,Public,17,2014-2015
911100,ÉS de la Rivière-des-Français,Secondary,Public,59,2014-2015
890817,ÉS l'Orée des Bois,Secondary,Public,35,2014-2015
955622,École Cap sur l'Avenir,Secondary,Public,74,2014-2015
342432,École publique Camille-Perron,Elementary,Public,87,2014-2015
568961,École publique Foyer-Jeunesse,Elementary,Public,196,2014-2015
332100,École publique Franco-Manitou,Elementary,Public,33,2014-2015
460338,École publique Franco-Nord,Elementary,Public,79,2014-2015
242853,École publique Hanmer,Elementary,Public,51,2014-2015
157325,École publique Hélène-Gravel,Elementary,Public,235,2014-2015
408735,École publique Jean-Éthier-Blais,Elementary,Public,308,2014-2015
282898,École publique Jeanne-Sauvé,Elementary,Public,108,2014-2015
327425,École publique Macdonald-Cartier,Elementary,Public,137,2014-2015
